ID,Licensing Entity Name,License Name,License Description,ISIC Number,Service Name,Ministry Involved,Service Fees,Service Duration,Conditions/Requirements,Service Description,Additional Information
1,Technical and Vocational Training Corporation,Training Facility License,"This service enables the investor to issue, renew and cancel the license of a training facility that provides programs, qualifying courses and developmental courses.",853040- 854954,Issuance of an investment license for the foreign investor,Ministry of Investment,"2000 SAR/ year
5 years maximum",One day,"• The investment activity shall not be included in the list of activities excluded from foreign investment.
• Product specifications should match the Saudi, GCC  or international specifications.
• Applicant shall not have conclusive rulings against him due to violations of system provisions inside or outside the Kingdom.
• Applicant shall abide by the conditions and regulations attached to the investment license application form.
• Investment objectives shall be achieved and conditions and regulations on license renewal applications shall be implemented. 
• Presence of a license to practice commercial activity in the Kingdom for foreign investors.
• Presence of commercial register and articles of association of the facility in its country, certified by respective entities and Saudi embassy.
• A commercial register or an extract from the civil status as a proof of profession.
• Presence of Articles of association for a limited liability company.
• Presence of the articles of association for a  joint-stock company.
• Presence of the general manager's passport.
• Presence of the national ID and the family card if one of the partners has the Saudi nationality.
• Submission of the partners' decision stating their desire to invest in the Kingdom, indicating the partners' names, the capital, the ownership percentage of each partner, the main office of the facility and the nature of its activity.
• Appointment of a general manager, determining his powers and certifying it by respective entities and the Saudi embassy.
• Provision of initial approval from the relevant ministries or agencies if the activity requires approval.
• Provision of a detailed action plan.
• Submission of a minimum of 3 year budget for the facility requesting a license from outside the Kingdom, showing the soundness of the financial position. The budget must be approved by an accounting office and certified by the concerned body and the Kingdom’s embassy.
• Proof of financial capability to invest, commensurate with the project's capital and each partner's share, in line with the submitted business plan.
• Reservation of a trade name with the Ministry of Commerce.",Issuing an investment license for non-Saudis to practice commercial activities in accordance with the specified conditions and requirements.,"A value of 10,000 SAR will be added to the subscription to the services of the Investor Relations Centers at the Ministry of Investment in the first year, and 60,000 SAR in the following year/years.
This procedure requires creating a new account if it does not exist already.
This procedure is automated.
This procedure requires payment. ."
2,Technical and Vocational Training Corporation,Training Facility License,"This service enables the investor to issue, renew and cancel the license of a training facility that provides programs, qualifying courses and developmental courses.",853040- 854954,Issuance of a commercial register,Ministry of Commerce,Depending on the entity classification ,Depending on the1 entity classification ,"•Applicant must be 18 years old or above.
•The employee must not be a governmental employee.
•The capital shall not be less than 5000 SAR.
•It is not required to issue a branch register for the same activity, practiced in the same administrative region.
Issuing the main register requires the following:
• Electronically submitting an application to establish the company.
• Submitting a letter signed by the founders establishing the company.
• Presence of a national ID.
Issuing a main register for joint-stock companies requires:
•Minimum capital of 500,000 SAR.
•Presence of the company's articles of association and articles of incorporation.
Issuing a branch register requires:
• Submitting a letter from the company stating the issuance of a company branch, including the city of the branch and the branch manager, attested by the Chamber of Commerce.
• Confirmation of the investor's deposit at the end of the company's fiscal year.","A legal document that contains the investor's data and his activity, enabling him to carry out his activity with an official permit in accordance with the specific conditions and requirements.","This procedure requires creating a new account if it does not exist.
This procedure is automated.
This procedure requires payment."
3,Technical and Vocational Training Corporation,Training Facility License,"This service enables the investor to issue, renew and cancel the license of a training facility that provides programs, qualifying courses and developmental courses.",853040- 854954,Registeration with relevant governmental entities ,"Ministry of Human Resources and Social Development, ZATCA  Saudi Post| SPL
The General Organization for Social Insurance",Depending on the investor type,Depending on the investor type,"
•	Presence of a valid commercial register.","Establishments and companies shall be automatically registered after issuing the commercial registration at the Ministry of Human Resources and Social Development, ZATCA, the General Organization for Social Insurance, and the Saudi Post.",This step is illustrative and gets activated automatically 
4,Technical and Vocational Training Corporation,Training Facility License,"This service enables the investor to issue, renew and cancel the license of a training facility that provides programs, qualifying courses and developmental courses.",853040- 854954,Issuance of the initial license,Technical and Vocational Training Corporation,2000 SAR,Instant,"The requirements and prerequisites for obtaining and renewing a healthcare license, or modifying it by transferring location or ownership to another investor, include the following:

Valid commercial registration.
Valid commercial activity license.
Governmental approval/license.
Founding contract for companies.
Safety certificate issued by the Civil Defense.
Compliance certificate issued by the Ministry of Human Resources and Social Development.
Subsidiary commercial registration under the name of the training facility, starting with the words ""Center"" or ""Institute"" and ending with a word related to training.
All partners must be Saudi nationals or citizens of GCC countries.
Training should be provided free of charge.
Fulfilling the main requirements from relevant authorities (Ministry of Commerce, Saudi Post, Ministry of Investment).
Providing all information and data according to approved templates.
The training facility should not be used as a means to obtain any form of material or monetary support or solicit donations.
The system should allow training to be provided to non-employees.
Appointing a legal agent for the institution or company, or an authorized representative.
Additional requirements for foreign investors include:

Possessing an investment license for the training sector from the Ministry of Investment.
The company or entity should be specialized in training and officially registered in the home country.
The company should have at least one year of experience in the field of training.",Obtaining the initial approval after verifying that the necessary conditions for issuing a training license are met.,"This procedure is automated.
This action requires payment.
This procedure requires creating a new account if it does not exist."
5,Technical and Vocational Training Corporation,Training Facility License,"This service enables the investor to issue, renew and cancel the license of a training facility that provides programs, qualifying courses and developmental courses.",853040- 854954,Designation of an engineering office,No data available,Depending on the office ,Depending on the Office ,No data available,Appointment of an approved engineering office to obtain construction and safety plans in accordance with the Saudi code.,This step is illustrative and not mandatory for license issuance.
6,Technical and Vocational Training Corporation,Training Facility License,"This service enables the investor to issue, renew and cancel the license of a training facility that provides programs, qualifying courses and developmental courses.",853040- 854954,Issuance of a license to practice commercial activity and a safety certificate,"
MOMRAH
Civil Defense",Depending on the activity classification + survey fees of 20 SAR,Instant ,"Presence of a valid commercial register.
Presence of a permit from the Civil Defense, if there is an office.
Presence of articles of association of the companies.
Presence of the title deed or the lease contract if there is an office.
Applicant shall not be prohibited from practicing the activity.
Applicant shall be committed to fulfilling the conditions of the activity.
Applicant shall be committed to updating the data in the system.
Applicant shall be able to request issuance of a license for his shop on his own behalf or on behalf of another, with a copy of the legal proxy.
Applicant shall ensure the validity and accuracy of the data entered, bearing in mind that all transactions that take place through the beneficiary's account are binding (remove on him.)
The attached documents shall match the original copies.","Fulfilling all the procedures, conditions and data required to conduct the  activity, and inspecting the site to to ensure it is licensed in accordance with safety conditions and requirements.","This procedure is automated.
This action requires payment.
This procedure requires creating a new account if it does not exist."
7,Technical and Vocational Training Corporation,Training Facility License,"This service enables the investor to issue, renew and cancel the license of a training facility that provides programs, qualifying courses and developmental courses.",853040- 854954,Request of activitation of training programs,Technical and Vocational Training Corporation,"5000 SAR, including application study  and  visit",1-5 days,"Presence of a (remove commercial) municipal license.
Submission of an activation request, provided that there is no sanction preventing authorization.
Obtainment of certificate of alignement from the Ministry of Human Resources and Social Development (certificate of a work environment that supports the work of individuals with disabilities) for private training facilities.
Submission of the approval of the Civil Defense unless previously submitted.
Approval of the necessary equipment for activation in accordance with the requirements of the training program.
Approval of the necessary training body  for activation in accordance with the requirements of the training program.
Approval of the necessary administrative body for activation, unless previously approved.
All information and data shall be filled out in accordance with the approved forms.","Requesting the activation of training programs, ensuring that they conform to standards, are free of any gaps, and working to improve the deliverables and amending what is necessary.","This procedure requires creating a new account if it does not exist.
This procedure is automated.
1000 SAR is paid for each program or training field.
1000 SAR is paid for each additional visit."
8,Technical and Vocational Training Corporation,Training Facility License,"This service enables the investor to issue, renew and cancel the license of a training facility that provides programs, qualifying courses and developmental courses.",853040- 854954,Field visit to verify readiness ,Technical and Vocational Training Corporation,Included in step (7),Included in step (7),No data available,"Specialists visit to follow up on the work progress and verify (remove the level of) readiness, in order to ensure quality and achieve the required standards.",This procedure requires payment.
9,Technical and Vocational Training Corporation,Training Facility License,"This service enables the investor to issue, renew and cancel the license of a training facility that provides programs, qualifying courses and developmental courses.",853040- 854954,Activation of training programs,Technical and Vocational Training Corporation,Included in step (7),Included in step (7),No data available,"Activating the training programs after ensuring that they conform to the standards, are free of any loopholes, and pay the fees.",This procedure is automated.
10,Technical and Vocational Training Corporation,Training Facility License,"This service enables the investor to issue, renew and cancel the license of a training facility that provides programs, qualifying courses and developmental courses.",853040- 854954,Endorsement of cadres visas,Technical and  Vocational Training Corporation,Free ,1-3 days,No data available,Submitting a request to endorse granting of visa credits for the recruitment of facilities workers.,"This step is not mandatory for issuing the license, but is required to run the activity."
